project_id,mission_id,node_id,task_type,source_path,dispatched_at,completed_at,duration_seconds,duration_robust,done,passed,request_attention,missing_end_node,rate_limit,killed_or_timeout,internal_error
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T1-v2,work,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T15-26-52Z-0000__T1-v2.md,2026-06-30T15:26:52Z,2026-06-30T15:45:50.618428Z,1138.618,1,1,,0,0,0,0,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T2-v2,work,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T15-26-52Z-0001__T2-v2.md,2026-06-30T15:26:52Z,2026-06-30T15:45:50.619428Z,1138.619,1,1,,0,0,0,0,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T3-v2,work,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T15-26-52Z-0002__T3-v2.md,2026-06-30T15:26:52Z,2026-06-30T15:45:50.620428Z,1138.62,1,1,,0,0,0,1,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T4-v2,work,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T15-26-52Z-0003__T4-v2.md,2026-06-30T15:26:52Z,2026-06-30T15:45:50.620428Z,1138.62,1,1,,0,0,0,0,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T5-v2,work,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T15-45-50Z-0000__T5-v2.md,2026-06-30T15:45:50Z,2026-06-30T15:55:15.077450Z,565.077,1,1,,0,0,0,0,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T6-v2,validate,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T15-45-50Z-0001__T6-v2.md,2026-06-30T15:45:50Z,2026-06-30T15:55:15.081450Z,565.081,1,1,0,1,0,0,0,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T7-v2,validate,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T15-45-50Z-0002__T7-v2.md,2026-06-30T15:45:50Z,2026-06-30T15:55:15.087450Z,565.087,1,1,1,0,0,0,0,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T8-v2,validate,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T15-45-50Z-0003__T8-v2.md,2026-06-30T15:45:50Z,2026-06-30T15:55:15.090450Z,565.09,1,1,1,0,0,0,0,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,mission-001,T9-v2,validate,/root/.zenith/projects/20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get/.zenith/missions/mission-001/attempts/2026-06-30T18-54-44Z__T9-v2.md,2026-06-30T18:54:44Z,2026-06-30T19:02:05.413256Z,441.413,1,1,0,1,0,0,0,0
20260630T192808Z-read-and-analyze-two-scientific-articles-sciencedirect-s00092614,mission-001,t1-extract-protocols,work,/root/.zenith/projects/20260630T192808Z-read-and-analyze-two-scientific-articles-sciencedirect-s00092614/.zenith/missions/mission-001/attempts/2026-06-30T19-36-41Z-0000__t1-extract-protocols.md,2026-06-30T19:36:41Z,2026-06-30T19:52:34.473181Z,953.473,1,1,,0,0,0,0,0
