source_unit,files_total,files_read,parse_depth,skip_reason
claude:-,2156,2156,full-file rg --json prefilter; matched_lines=2659,
claude:-opt-hermes-conversation-bridge,5,5,full-file rg --json prefilter; matched_lines=0,
claude:-root,605,605,full-file rg --json prefilter; matched_lines=3410,
claude:-root--cache-ms-playwright-chromium-headless-shell-1223-chrome-headless-shell-linux64,3,3,full-file rg --json prefilter; matched_lines=9,
claude:-root--claude-projects--root,1,1,full-file rg --json prefilter; matched_lines=3,
claude:-root--claude-tg-bridge,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-capybara-pet,5,5,full-file rg --json prefilter; matched_lines=85,
claude:-root-gbrain,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-gbrain-ragas-eval,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-hermes-housekeeping,1,1,full-file rg --json prefilter; matched_lines=3,
claude:-root-mycroft-workdir,16,16,full-file rg --json prefilter; matched_lines=450,
claude:-root-onfy-crm,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-onfy-maestra-agent,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-peakminer-audits-2026-08-28-v4-audit-work,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-peakminer-re,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-pearl-hopper-wt-g1-restart-gate,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-pearl-hopper-wt-g5-lifecycle-pps,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-pearl-hopper-wt-g7-fee-schedule,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-pearl-hopper-wt-integration,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-projects-crypto-miner-alert,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-projects-hh-parser,1017,1017,full-file rg --json prefilter; matched_lines=1017,
claude:-root-projects-pearl-hopper,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-projects-pearl-hopper-backlog,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-projects-telecom-crm-bitrix24,13,13,full-file rg --json prefilter; matched_lines=40,
claude:-root-tanya-mission,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-territory-ladder,0,0,full-file rg --json prefilter; matched_lines=0,STRUCTURAL: missing or empty corpus unit
claude:-root-wandertanya-anthropic,3,3,full-file rg --json prefilter; matched_lines=0,
claude:-tmp,108,108,full-file rg --json prefilter; matched_lines=58,
claude:-tmp-gbrain-claude-cli-cwd-1078781,8,8,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-1081144,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-1081488,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-1081641,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-1142641,1,1,full-file rg --json prefilter; matched_lines=0,
claude:-tmp-gbrain-claude-cli-cwd-120949,7,7,full-file rg --json prefilter; matched_lines=6,
