project_id,workspace_dir,created_at,state,category,tasks_total,work_tasks,validate_tasks,gate_tasks,superseded_tasks,attempts_total,attempts_done,attempts_failed,missing_end_node,rate_limit,robust_agent_seconds,robust_batch_wall_seconds,contracts,regressions,evidence_files,evidence_bytes,terminal_reviews,terminal_gap_headings,current_attention_items
20260630T141938Z-crypto-miner-alert-architecture-analysis-and-impact-fixes-use-th,/root/projects/crypto-miner-alert,2026-06-30T14:19:38Z,mission_planning,product_software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,/root/projects/crypto-miner-alert,2026-06-30T15:16:50Z,attention_needed,product_software,20,10,8,2,10,9,9,0,0,0,7256.225,2145.123,11,6,19,486972,1,5,1
20260630T192808Z-read-and-analyze-two-scientific-articles-sciencedirect-s00092614,/root/conformer-generation,2026-06-30T19:28:08Z,done,scientific,28,7,12,9,6,19,15,4,4,4,23502.472,10021.496,11,3,114,2060857,12,47,0
20260701T101140Z-cloudstrix-integra-cloudstrix-client-feedback-google-sheet-18-06,/root/projects/cloudstrix-integra,2026-07-01T10:11:40Z,failed,product_software,17,5,6,6,0,11,1,10,10,0,5550.715,4566.885,30,0,57,1615342,0,0,0
20260701T152006Z-mission-eliminate-recurring-operator-agent-interaction-anti-patt,/root,2026-07-01T15:20:07Z,done,research_process_other,35,22,9,4,12,28,20,8,8,0,21958.071,13789.517,18,3,37,40018036,1,0,0
20260701T204251Z-zenith-2026-07-01,/root/projects/telecom-crm-bitrix24,2026-07-01T20:42:51Z,done,product_software,26,9,9,8,5,21,15,6,6,0,11120.082,7405.094,15,3,106,3923455,2,2,0
20260702T091938Z-jusan-crm-24-on-premise-jusan-mobile-24-crmba-confluence-rtm-704,/root/projects/telecom-crm-bitrix24,2026-07-02T09:19:38Z,done,product_software,59,32,19,8,8,50,46,4,0,0,24464.444,10044.13,30,5,564,34159043,1,0,0
20260703T112702Z-jusan-mobile-crm-24-ba-2026-1-jira-jm-miroslavb-atlassian-net-2-,/root/projects/telecom-crm-bitrix24,2026-07-03T11:27:02Z,done,product_software,19,6,9,4,3,15,12,3,4,3,8546.504,5114.021,10,0,65,941026,1,0,0
20260703T204552Z-mission-migrate-ai-automation-llc-to-the-nuc-stand-up-planka-a-c,/root/projects/ai-automation-nuc-mission,2026-07-03T20:45:52Z,done,infrastructure_security,34,11,15,8,2,25,23,2,2,4,28398.74,16019.796,38,0,388,3117475,1,0,0
20260705T123430Z-root-girdin-dock-mission-template-assessment-md,/root/girdin-dock,2026-07-05T12:34:30Z,aborted,scientific,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
20260705T135020Z-fable-claude-fable-5-claude-opus-4-8-root-girdin-dock-zenith-con,/root/girdin-dock,2026-07-05T13:50:20Z,done,scientific,20,7,8,5,3,17,11,6,6,2,13014.602,9806.786,14,0,874,35233353,1,0,0
20260706T212330Z-xpd-dna-platinum-adduct-comparative-structural-modeling-mission-,/root/xpd-oxaliplatin-cofold,2026-07-06T21:23:30Z,done,scientific,32,12,13,7,1,31,23,8,6,6,49166.878,25230.09,15,0,136,8004638,1,0,0
20260706T213417Z-pnl-client-work-model-profitability-analysis-v4-for-the-ai-autom,/root/pnl-analysis-v4,2026-07-06T21:34:17Z,done,product_software,23,10,8,5,5,21,13,8,5,3,41021.751,27739.8,25,0,122,14140404,1,0,0
20260707T185954Z-cloudstrix-integra-production-integra-cloudstrix-ru-2026-07-07-r,/root/projects/cloudstrix-integra,2026-07-07T18:59:54Z,done,product_software,62,13,33,16,16,42,31,11,11,12,68997.638,38623.61,44,6,323,15698660,1,0,0
20260710T004432Z-act-on-the-hermes-ir-iii-conformer-completeness-audit-and-implem,/root/.hermes-agent2/biometaldb,2026-07-10T00:44:32Z,done,scientific,38,14,16,8,6,39,24,15,7,3,48164.978,17539.848,15,0,294,33992571,1,0,0
20260711T113737Z-user-mission-original-russian,/root/mpges2-similarity,2026-07-11T11:37:37Z,done,scientific,19,6,7,6,0,14,13,1,1,1,14349.043,11791.278,17,0,116,67375105,1,0,0
20260711T115510Z-mission-personal-project-biometal-xyz-miroslav-find-plausible-bi,/root/girdin-dock,2026-07-11T11:55:10Z,done,scientific,54,10,27,17,10,39,23,16,15,12,45438.064,29195.189,13,0,422,5765496,4,6,0
20260711T220544Z-personal-project-biometal-xyz-miroslav-enrich-the-live-site-http,/root/mpges2-similarity,2026-07-11T22:05:44Z,done,scientific,15,8,4,3,0,14,7,7,7,7,6648.872,3904.983,14,0,29,66053,1,0,0
20260712T002426Z-stage-2-personal-project-biometal-xyz-miroslav-follow-on-to-the-,/root/girdin-dock,2026-07-12T00:24:26Z,aborted,scientific,30,9,13,8,0,20,12,8,8,4,24238.658,14738.619,9,0,219,3290670,0,0,0
20260713T184547Z-mission-turn-the-agent-harness-on-host-hermes-tanya-38-19-200-18,/root/tanya-mission,2026-07-13T18:45:47Z,failed,infrastructure_security,54,18,19,17,5,56,31,25,24,22,95676.768,52767.069,74,2,327,668204,1,2,0
20260713T220618Z-original-user-request-russian-verbatim-source-of-truth,/root/oxaliplatin-lit-archive,2026-07-13T22:06:18Z,done,scientific,27,14,8,5,7,23,16,7,7,3,28064.825,21189.572,21,4,1366,24168558,1,0,0
20260714T171824Z-mission-win-the-territory-masterskaya-bot-tournament-on-agentswi,/root/territory-ladder,2026-07-14T17:18:24Z,mission_running,product_software,22,17,3,2,2,23,17,6,5,4,50660.443,49852.037,6,1,40,109098,7,12,0
20260715T140959Z-win-the-territory-tournament-at-agentswithfriends-com-the-game-i,/root/territory-battle,2026-07-15T14:09:59Z,attention_needed,product_software,7,4,2,1,0,4,3,1,1,0,2748.886,687.223,6,3,7,54608,0,0,3
20260717T161532Z-project,/root/arena,2026-07-17T16:15:32Z,done,product_software,59,24,23,12,13,45,30,15,14,8,51645.923,38446.114,49,0,3068,132298528,5,6,0
20260722T173113Z-diy-biometal-xyz-miroslav-diy-a-miroslav-diy-edge-194-9-62-13-1-,/root/projects/miroslav-diy,2026-07-22T17:31:13Z,attention_needed,scientific,26,16,7,3,6,16,12,4,3,0,25911.187,16173.734,28,13,341,30867582,0,0,1
20260723T113908Z-c6-enviro-hardware-interview-remediation-after-v0-1-7-failed-liv,/root/c6-enviro,2026-07-23T11:39:08Z,aborted,infrastructure_security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260723T132138Z-production-3d-biometaldb-ir-iii-donor-denticity-assignment-stere,/root/conformer-methods-literature-review,2026-07-23T13:21:38Z,aborted,scientific,40,16,16,8,8,30,20,10,5,1,41137.85,33322.3,27,12,460,8495350,0,0,0
20260723T185703Z-mission-zigbee2mqtt-zstack-coordinator-sonoff-zbdongle-e-efr32mg,/root/zbdongle-e-migration-lab,2026-07-23T18:57:03Z,attention_needed,infrastructure_security,118,48,38,32,46,59,46,13,9,0,44548.814,38814.553,40,23,1204,365318163,0,0,1
20260728T145818Z-crypto-miner-alert-otc-otc-outcome-first-production,/root/projects/crypto-miner-alert,2026-07-28T14:58:18Z,mission_running,product_software,217,105,75,37,77,159,104,55,21,18,418781.601,351763.293,67,19,2760,212471103,3,14,0
20260730T053905Z-security-hardening-mission-for-the-complete-public-shared-host-s,/root/hermes-housekeeping,2026-07-30T05:39:05Z,mission_running,infrastructure_security,159,73,78,8,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0
20260809T022615Z-execute-only-the-operator-authorized-standard-openssh-shared-key,/root/hermes-housekeeping,2026-08-09T02:26:15Z,done,infrastructure_security,17,8,8,1,8,13,8,5,4,0,13564.092,13564.092,4,0,33,134913,1,0,0
20260809T075546Z-implement-one-isolated-edge-only-security-hardening-wave-for-the,/root/hermes-housekeeping,2026-08-09T07:55:46Z,attention_needed,infrastructure_security,106,46,44,16,56,37,28,9,5,0,68608.009,68608.009,42,9,209,11409107,0,0,1
20260809T152351Z-build-the-complete-capybara-pet-tamagotchi-project-defined-by-th,/root/capybara-pet,2026-08-09T15:23:51Z,aborted,product_software,370,271,62,37,219,179,66,113,40,2,200627.931,174672.785,59,2,39,5462709,0,0,0
20260809T175218Z-independently-revalidate-the-four-edge-rce-offline-candidate-ass,/root/hermes-housekeeping,2026-08-09T17:52:18Z,attention_needed,infrastructure_security,12,3,5,4,6,7,5,2,2,0,8721.863,7462.054,5,0,93,477093,0,0,1
20260809T231732Z-create-a-clean-read-only-closure-certificate-for-the-edge-rce-of,/root/hermes-housekeeping,2026-08-09T23:17:32Z,mission_running,infrastructure_security,12,4,4,4,0,8,7,1,1,0,9734.004,9734.004,4,0,25,146470,3,4,0
20260810T024157Z-issue-a-final-clean-read-only-product-surface-certificate-for-th,/root/hermes-housekeeping,2026-08-10T02:41:57Z,attention_needed,research_process_other,6,2,2,2,1,4,4,0,0,0,3987.034,3987.034,2,0,22,103581,0,0,1
20260810T035509Z-issue-one-final-clean-read-only-closure-seal-for-the-current-che,/root/hermes-housekeeping,2026-08-10T03:55:09Z,done,research_process_other,3,1,1,1,0,2,2,0,0,0,2437.585,2437.585,1,0,23,78429,1,0,0
20260821T141159Z-rpi4-ajazz-akp05e-akp05e-pro-ulanzi-deck-d200-live-usb-0300-3004,/root/projects/ajazz-deck,2026-08-21T14:11:59Z,aborted,infrastructure_security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20260823T003203Z-implement-pearl-hopper-p0-completely-and-safely-in-root-projects,/root/projects/pearl-hopper,2026-08-23T00:32:03Z,aborted,infrastructure_security,57,13,27,17,10,47,23,24,24,0,54181.766,42653.67,25,5,98,383468,0,0,0
20260826T111552Z-asic-antminer-t21-at-192-168-1-243-was-reflashed-by-the-user-rei,/root/vnish-re,2026-08-26T11:15:52Z,aborted,infrastructure_security,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
