agent,project_id,units_with_exact_reference
claude,20260630T141938Z-crypto-miner-alert-architecture-analysis-and-impact-fixes-use-th,1
claude,20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,1
claude,20260630T192808Z-read-and-analyze-two-scientific-articles-sciencedirect-s00092614,1
claude,20260701T101140Z-cloudstrix-integra-cloudstrix-client-feedback-google-sheet-18-06,1
claude,20260701T152006Z-mission-eliminate-recurring-operator-agent-interaction-anti-patt,1
claude,20260701T204251Z-zenith-2026-07-01,1
claude,20260702T091938Z-jusan-crm-24-on-premise-jusan-mobile-24-crmba-confluence-rtm-704,1
claude,20260703T112702Z-jusan-mobile-crm-24-ba-2026-1-jira-jm-miroslavb-atlassian-net-2-,1
claude,20260703T204552Z-mission-migrate-ai-automation-llc-to-the-nuc-stand-up-planka-a-c,2
claude,20260705T123430Z-root-girdin-dock-mission-template-assessment-md,1
claude,20260705T135020Z-fable-claude-fable-5-claude-opus-4-8-root-girdin-dock-zenith-con,1
claude,20260706T212330Z-xpd-dna-platinum-adduct-comparative-structural-modeling-mission-,1
claude,20260706T213417Z-pnl-client-work-model-profitability-analysis-v4-for-the-ai-autom,1
claude,20260707T185954Z-cloudstrix-integra-production-integra-cloudstrix-ru-2026-07-07-r,1
claude,20260710T004432Z-act-on-the-hermes-ir-iii-conformer-completeness-audit-and-implem,1
claude,20260711T113737Z-user-mission-original-russian,1
claude,20260711T115510Z-mission-personal-project-biometal-xyz-miroslav-find-plausible-bi,1
claude,20260711T220544Z-personal-project-biometal-xyz-miroslav-enrich-the-live-site-http,1
claude,20260712T002426Z-stage-2-personal-project-biometal-xyz-miroslav-follow-on-to-the-,1
claude,20260713T184547Z-mission-turn-the-agent-harness-on-host-hermes-tanya-38-19-200-18,1
claude,20260713T220618Z-original-user-request-russian-verbatim-source-of-truth,1
claude,20260714T171824Z-mission-win-the-territory-masterskaya-bot-tournament-on-agentswi,1
claude,20260715T140959Z-win-the-territory-tournament-at-agentswithfriends-com-the-game-i,1
claude,20260717T161532Z-project,1
claude,20260722T173113Z-diy-biometal-xyz-miroslav-diy-a-miroslav-diy-edge-194-9-62-13-1-,1
claude,20260723T113908Z-c6-enviro-hardware-interview-remediation-after-v0-1-7-failed-liv,1
claude,20260723T132138Z-production-3d-biometaldb-ir-iii-donor-denticity-assignment-stere,1
claude,20260723T185703Z-mission-zigbee2mqtt-zstack-coordinator-sonoff-zbdongle-e-efr32mg,1
claude,20260728T145818Z-crypto-miner-alert-otc-otc-outcome-first-production,1
claude,20260730T053905Z-security-hardening-mission-for-the-complete-public-shared-host-s,1
claude,20260809T022615Z-execute-only-the-operator-authorized-standard-openssh-shared-key,1
claude,20260809T075546Z-implement-one-isolated-edge-only-security-hardening-wave-for-the,1
claude,20260809T152351Z-build-the-complete-capybara-pet-tamagotchi-project-defined-by-th,2
claude,20260809T175218Z-independently-revalidate-the-four-edge-rce-offline-candidate-ass,1
claude,20260809T231732Z-create-a-clean-read-only-closure-certificate-for-the-edge-rce-of,1
claude,20260810T024157Z-issue-a-final-clean-read-only-product-surface-certificate-for-th,1
claude,20260810T035509Z-issue-one-final-clean-read-only-closure-seal-for-the-current-che,1
claude,20260823T003203Z-implement-pearl-hopper-p0-completely-and-safely-in-root-projects,2
claude,20260828T154717Z-recover-a-standalone-production-usable-bidirectional-wildrig-mul,1
codex,20260630T141938Z-crypto-miner-alert-architecture-analysis-and-impact-fixes-use-th,3
codex,20260630T151650Z-take-over-the-crypto-miner-alert-project-in-manual-mode-goal-get,3
codex,20260630T192808Z-read-and-analyze-two-scientific-articles-sciencedirect-s00092614,3
